indicator,date,rate
low,2023-12-22 19:21:00,375.0
close,2023-12-22 19:21:00,375.0
open,2023-12-22 19:19:00,375.0
high,2023-12-22 19:19:00,375.04
low,2023-12-22 19:19:00,375.0
close,2023-12-22 19:19:00,375.04
open,2023-12-22 19:18:00,375.0
high,2023-12-22 19:18:00,375.02
low,2023-12-22 19:18:00,375.0
close,2023-12-22 19:18:00,375.0
open,2023-12-22 19:17:00,375.0
high,2023-12-22 19:17:00,375.0
low,2023-12-22 19:17:00,375.0
close,2023-12-22 19:17:00,375.0
open,2023-12-22 19:16:00,375.0
high,2023-12-22 19:16:00,375.04
low,2023-12-22 19:16:00,375.0
close,2023-12-22 19:16:00,375.0
open,2023-12-22 19:15:00,375.0
high,2023-12-22 19:15:00,375.0
low,2023-12-22 19:15:00,375.0
close,2023-12-22 19:15:00,375.0
open,2023-12-22 19:13:00,375.04
high,2023-12-22 19:13:00,375.04
low,2023-12-22 19:13:00,375.03
close,2023-12-22 19:13:00,375.03
open,2023-12-22 19:11:00,375.01
high,2023-12-22 19:11:00,375.04
low,2023-12-22 19:11:00,375.01
close,2023-12-22 19:11:00,375.04
open,2023-12-22 19:10:00,375.001
high,2023-12-22 19:10:00,375.001
low,2023-12-22 19:10:00,375.0
close,2023-12-22 19:10:00,375.0
open,2023-12-22 19:08:00,375.0
high,2023-12-22 19:08:00,375.0
low,2023-12-22 19:08:00,375.0
close,2023-12-22 19:08:00,375.0
open,2023-12-22 19:06:00,375.04
high,2023-12-22 19:06:00,375.04
low,2023-12-22 19:06:00,375.0
close,2023-12-22 19:06:00,375.0
open,2023-12-22 19:05:00,375.02
high,2023-12-22 19:05:00,375.02
low,2023-12-22 19:05:00,375.0
close,2023-12-22 19:05:00,375.0
open,2023-12-22 19:04:00,375.0
high,2023-12-22 19:04:00,375.0
low,2023-12-22 19:04:00,375.0
close,2023-12-22 19:04:00,375.0
open,2023-12-22 19:03:00,375.02
high,2023-12-22 19:03:00,375.02
low,2023-12-22 19:03:00,375.02
close,2023-12-22 19:03:00,375.02
open,2023-12-22 19:02:00,375.03
high,2023-12-22 19:02:00,375.03
low,2023-12-22 19:02:00,375.03
close,2023-12-22 19:02:00,375.03
open,2023-12-22 19:01:00,375.01
high,2023-12-22 19:01:00,375.01
low,2023-12-22 19:01:00,375.0
close,2023-12-22 19:01:00,375.0
open,2023-12-22 18:59:00,375.04
high,2023-12-22 18:59:00,375.05
low,2023-12-22 18:59:00,375.04
close,2023-12-22 18:59:00,375.05
open,2023-12-22 18:58:00,375.05
high,2023-12-22 18:58:00,375.05
low,2023-12-22 18:58:00,375.04
close,2023-12-22 18:58:00,375.04
open,2023-12-22 18:57:00,375.05
high,2023-12-22 18:57:00,375.05
low,2023-12-22 18:57:00,375.05
close,2023-12-22 18:57:00,375.05
open,2023-12-22 18:55:00,375.04
high,2023-12-22 18:55:00,375.05
low,2023-12-22 18:55:00,375.04
close,2023-12-22 18:55:00,375.05
open,2023-12-22 18:54:00,375.0
high,2023-12-22 18:54:00,375.04
low,2023-12-22 18:54:00,375.0
close,2023-12-22 18:54:00,375.0
open,2023-12-22 18:53:00,375.02
high,2023-12-22 18:53:00,375.02
low,2023-12-22 18:53:00,375.0
close,2023-12-22 18:53:00,375.0
open,2023-12-22 18:51:00,375.02
high,2023-12-22 18:51:00,375.02
low,2023-12-22 18:51:00,375.02
close,2023-12-22 18:51:00,375.02
open,2023-12-22 18:50:00,375.02
high,2023-12-22 18:50:00,375.02
low,2023-12-22 18:50:00,375.02
close,2023-12-22 18:50:00,375.02
open,2023-12-22 18:49:00,375.02
high,2023-12-22 18:49:00,375.02
low,2023-12-22 18:49:00,375.02
close,2023-12-22 18:49:00,375.02
open,2023-12-22 18:48:00,375.03
high,2023-12-22 18:48:00,375.05
low,2023-12-22 18:48:00,375.02
close,2023-12-22 18:48:00,375.05
open,2023-12-22 18:47:00,375.05
high,2023-12-22 18:47:00,375.05
low,2023-12-22 18:47:00,375.05
close,2023-12-22 18:47:00,375.05
open,2023-12-22 18:46:00,375.05
high,2023-12-22 18:46:00,375.05
low,2023-12-22 18:46:00,375.02
close,2023-12-22 18:46:00,375.05
open,2023-12-22 18:45:00,375.05
high,2023-12-22 18:45:00,375.05
low,2023-12-22 18:45:00,375.0
close,2023-12-22 18:45:00,375.05
open,2023-12-22 18:44:00,375.02
high,2023-12-22 18:44:00,375.05
low,2023-12-22 18:44:00,375.02
close,2023-12-22 18:44:00,375.05
open,2023-12-22 18:43:00,375.05
high,2023-12-22 18:43:00,375.05
low,2023-12-22 18:43:00,375.02
close,2023-12-22 18:43:00,375.02
open,2023-12-22 18:42:00,375.05
high,2023-12-22 18:42:00,375.05
low,2023-12-22 18:42:00,375.05
close,2023-12-22 18:42:00,375.05
open,2023-12-22 18:41:00,375.05
high,2023-12-22 18:41:00,375.05
low,2023-12-22 18:41:00,375.05
close,2023-12-22 18:41:00,375.05
open,2023-12-22 18:40:00,375.02
high,2023-12-22 18:40:00,375.05
low,2023-12-22 18:40:00,375.02
close,2023-12-22 18:40:00,375.02
open,2023-12-22 18:39:00,375.05
high,2023-12-22 18:39:00,375.05
low,2023-12-22 18:39:00,375.05
close,2023-12-22 18:39:00,375.05
open,2023-12-22 18:38:00,375.02
high,2023-12-22 18:38:00,375.05
low,2023-12-22 18:38:00,375.02
close,2023-12-22 18:38:00,375.05
open,2023-12-22 18:37:00,375.05
high,2023-12-22 18:37:00,375.05
low,2023-12-22 18:37:00,375.02
close,2023-12-22 18:37:00,375.02
open,2023-12-22 18:36:00,375.02
high,2023-12-22 18:36:00,375.05
low,2023-12-22 18:36:00,375.02
close,2023-12-22 18:36:00,375.05
open,2023-12-22 18:35:00,375.05
high,2023-12-22 18:35:00,375.05
low,2023-12-22 18:35:00,375.03
close,2023-12-22 18:35:00,375.03
open,2023-12-22 18:34:00,375.05
high,2023-12-22 18:34:00,375.05
low,2023-12-22 18:34:00,375.05
close,2023-12-22 18:34:00,375.05
open,2023-12-22 18:33:00,375.02
high,2023-12-22 18:33:00,375.02
low,2023-12-22 18:33:00,375.02
close,2023-12-22 18:33:00,375.02
open,2023-12-22 18:32:00,375.03
high,2023-12-22 18:32:00,375.09
low,2023-12-22 18:32:00,375.02
close,2023-12-22 18:32:00,375.02
open,2023-12-22 18:31:00,375.05
high,2023-12-22 18:31:00,375.05
low,2023-12-22 18:31:00,375.05
close,2023-12-22 18:31:00,375.05
open,2023-12-22 18:30:00,375.02
high,2023-12-22 18:30:00,375.05
low,2023-12-22 18:30:00,375.02
close,2023-12-22 18:30:00,375.05
open,2023-12-22 18:29:00,375.1
high,2023-12-22 18:29:00,375.1
low,2023-12-22 18:29:00,375.08
close,2023-12-22 18:29:00,375.08
open,2023-12-22 18:28:00,375.09
high,2023-12-22 18:28:00,375.09
low,2023-12-22 18:28:00,375.05
close,2023-12-22 18:28:00,375.05
open,2023-12-22 18:27:00,375.02
high,2023-12-22 18:27:00,375.02
low,2023-12-22 18:27:00,375.02
close,2023-12-22 18:27:00,375.02
open,2023-12-22 18:26:00,375.03
high,2023-12-22 18:26:00,375.09
low,2023-12-22 18:26:00,375.03
close,2023-12-22 18:26:00,375.09
open,2023-12-22 18:25:00,375.02
high,2023-12-22 18:25:00,375.14
low,2023-12-22 18:25:00,375.02
close,2023-12-22 18:25:00,375.14
open,2023-12-22 18:24:00,375.15
high,2023-12-22 18:24:00,375.17
low,2023-12-22 18:24:00,375.03
close,2023-12-22 18:24:00,375.03
open,2023-12-22 18:23:00,375.17
high,2023-12-22 18:23:00,375.17
low,2023-12-22 18:23:00,375.17
close,2023-12-22 18:23:00,375.17
open,2023-12-22 18:22:00,375.1
high,2023-12-22 18:22:00,375.15
low,2023-12-22 18:22:00,375.1
close,2023-12-22 18:22:00,375.1
open,2023-12-22 18:21:00,375.02
high,2023-12-22 18:21:00,375.03
low,2023-12-22 18:21:00,375.02
close,2023-12-22 18:21:00,375.03
open,2023-12-22 18:20:00,375.18
high,2023-12-22 18:20:00,375.2
low,2023-12-22 18:20:00,375.02
close,2023-12-22 18:20:00,375.02
open,2023-12-22 18:19:00,375.02
high,2023-12-22 18:19:00,375.03
low,2023-12-22 18:19:00,375.02
close,2023-12-22 18:19:00,375.03
open,2023-12-22 18:17:00,375.0
high,2023-12-22 18:17:00,375.03
low,2023-12-22 18:17:00,375.0
close,2023-12-22 18:17:00,375.02
open,2023-12-22 18:16:00,375.25
high,2023-12-22 18:16:00,375.25
low,2023-12-22 18:16:00,375.25
close,2023-12-22 18:16:00,375.25
open,2023-12-22 18:15:00,375.1
high,2023-12-22 18:15:00,375.1
low,2023-12-22 18:15:00,375.0
close,2023-12-22 18:15:00,375.0
open,2023-12-22 18:14:00,375.0
high,2023-12-22 18:14:00,375.0
low,2023-12-22 18:14:00,375.0
close,2023-12-22 18:14:00,375.0
open,2023-12-22 18:13:00,375.24
high,2023-12-22 18:13:00,375.24
low,2023-12-22 18:13:00,375.24
close,2023-12-22 18:13:00,375.24
