indicator,date,rate
low,2023-12-20 15:00:00,370.53
close,2023-12-20 15:00:00,370.57
open,2023-12-20 14:00:00,375.115
high,2023-12-20 14:00:00,375.33
low,2023-12-20 14:00:00,371.53
close,2023-12-20 14:00:00,371.861
open,2023-12-20 13:00:00,375.82
high,2023-12-20 13:00:00,375.83
low,2023-12-20 13:00:00,374.86
close,2023-12-20 13:00:00,375.12
open,2023-12-20 12:00:00,374.71
high,2023-12-20 12:00:00,376.03
low,2023-12-20 12:00:00,374.71
close,2023-12-20 12:00:00,375.817
open,2023-12-20 11:00:00,374.81
high,2023-12-20 11:00:00,375.04
low,2023-12-20 11:00:00,374.03
close,2023-12-20 11:00:00,374.71
open,2023-12-20 10:00:00,374.3
high,2023-12-20 10:00:00,375.3
low,2023-12-20 10:00:00,373.85
close,2023-12-20 10:00:00,374.83
open,2023-12-20 09:00:00,373.33
high,2023-12-20 09:00:00,375.3
low,2023-12-20 09:00:00,370.625
close,2023-12-20 09:00:00,374.37
open,2023-12-20 08:00:00,372.4
high,2023-12-20 08:00:00,373.35
low,2023-12-20 08:00:00,371.524
close,2023-12-20 08:00:00,373.3
open,2023-12-20 07:00:00,372.31
high,2023-12-20 07:00:00,372.68
low,2023-12-20 07:00:00,371.9
close,2023-12-20 07:00:00,371.9
open,2023-12-20 06:00:00,372.02
high,2023-12-20 06:00:00,373.26
low,2023-12-20 06:00:00,371.87
close,2023-12-20 06:00:00,372.31
open,2023-12-20 05:00:00,371.75
high,2023-12-20 05:00:00,372.28
low,2023-12-20 05:00:00,371.75
close,2023-12-20 05:00:00,372.06
open,2023-12-20 04:00:00,373.25
high,2023-12-20 04:00:00,373.25
low,2023-12-20 04:00:00,371.35
close,2023-12-20 04:00:00,371.75
open,2023-12-19 19:00:00,373.06
high,2023-12-19 19:00:00,373.28
low,2023-12-19 19:00:00,373.0
close,2023-12-19 19:00:00,373.28
open,2023-12-19 18:00:00,373.11
high,2023-12-19 18:00:00,373.26
low,2023-12-19 18:00:00,373.0
close,2023-12-19 18:00:00,373.17
open,2023-12-19 17:00:00,373.19
high,2023-12-19 17:00:00,373.26
low,2023-12-19 17:00:00,372.999
close,2023-12-19 17:00:00,373.12
open,2023-12-19 16:00:00,373.21
high,2023-12-19 16:00:00,373.6
low,2023-12-19 16:00:00,372.14
close,2023-12-19 16:00:00,373.19
open,2023-12-19 15:00:00,372.01
high,2023-12-19 15:00:00,373.26
low,2023-12-19 15:00:00,371.55
close,2023-12-19 15:00:00,373.21
open,2023-12-19 14:00:00,371.96
high,2023-12-19 14:00:00,372.4
low,2023-12-19 14:00:00,371.74
close,2023-12-19 14:00:00,372.001
open,2023-12-19 13:00:00,372.021
high,2023-12-19 13:00:00,372.631
low,2023-12-19 13:00:00,371.47
close,2023-12-19 13:00:00,371.954
open,2023-12-19 12:00:00,371.96
high,2023-12-19 12:00:00,372.349
low,2023-12-19 12:00:00,371.29
close,2023-12-19 12:00:00,372.03
open,2023-12-19 11:00:00,371.66
high,2023-12-19 11:00:00,372.72
low,2023-12-19 11:00:00,371.36
close,2023-12-19 11:00:00,371.93
open,2023-12-19 10:00:00,370.915
high,2023-12-19 10:00:00,372.33
low,2023-12-19 10:00:00,369.84
close,2023-12-19 10:00:00,371.66
open,2023-12-19 09:00:00,373.25
high,2023-12-19 09:00:00,373.25
low,2023-12-19 09:00:00,370.65
close,2023-12-19 09:00:00,370.935
open,2023-12-19 08:00:00,373.06
high,2023-12-19 08:00:00,374.25
low,2023-12-19 08:00:00,369.61
close,2023-12-19 08:00:00,373.24
open,2023-12-19 07:00:00,373.04
high,2023-12-19 07:00:00,373.95
low,2023-12-19 07:00:00,372.99
close,2023-12-19 07:00:00,373.95
open,2023-12-19 06:00:00,372.99
high,2023-12-19 06:00:00,373.48
low,2023-12-19 06:00:00,372.82
close,2023-12-19 06:00:00,373.11
open,2023-12-19 05:00:00,372.68
high,2023-12-19 05:00:00,372.99
low,2023-12-19 05:00:00,372.61
close,2023-12-19 05:00:00,372.92
open,2023-12-19 04:00:00,371.92
high,2023-12-19 04:00:00,372.78
low,2023-12-19 04:00:00,371.92
close,2023-12-19 04:00:00,372.62
open,2023-12-18 19:00:00,372.3
high,2023-12-18 19:00:00,372.65
low,2023-12-18 19:00:00,372.01
close,2023-12-18 19:00:00,372.39
open,2023-12-18 18:00:00,372.35
high,2023-12-18 18:00:00,372.65
low,2023-12-18 18:00:00,372.003
close,2023-12-18 18:00:00,372.29
open,2023-12-18 17:00:00,372.28
high,2023-12-18 17:00:00,425.051
low,2023-12-18 17:00:00,306.525
close,2023-12-18 17:00:00,372.35
open,2023-12-18 16:00:00,372.59
high,2023-12-18 16:00:00,372.76
low,2023-12-18 16:00:00,305.75
close,2023-12-18 16:00:00,372.28
open,2023-12-18 15:00:00,372.71
high,2023-12-18 15:00:00,372.93
low,2023-12-18 15:00:00,372.26
close,2023-12-18 15:00:00,372.59
open,2023-12-18 14:00:00,372.49
high,2023-12-18 14:00:00,373.0
low,2023-12-18 14:00:00,372.25
close,2023-12-18 14:00:00,372.7
open,2023-12-18 13:00:00,371.046
high,2023-12-18 13:00:00,372.55
low,2023-12-18 13:00:00,370.98
close,2023-12-18 13:00:00,372.489
open,2023-12-18 12:00:00,371.12
high,2023-12-18 12:00:00,371.89
low,2023-12-18 12:00:00,370.63
close,2023-12-18 12:00:00,371.04
open,2023-12-18 11:00:00,370.595
high,2023-12-18 11:00:00,371.39
low,2023-12-18 11:00:00,370.324
close,2023-12-18 11:00:00,371.11
open,2023-12-18 10:00:00,369.79
high,2023-12-18 10:00:00,372.71
low,2023-12-18 10:00:00,369.63
close,2023-12-18 10:00:00,370.63
open,2023-12-18 09:00:00,370.19
high,2023-12-18 09:00:00,371.24
low,2023-12-18 09:00:00,368.26
close,2023-12-18 09:00:00,369.76
