indicator,date,rate
low,2023-12-07 12:00:00,369.86
close,2023-12-07 12:00:00,370.44
open,2023-12-07 11:00:00,368.68
high,2023-12-07 11:00:00,370.59
low,2023-12-07 11:00:00,367.71
close,2023-12-07 11:00:00,370.59
open,2023-12-07 10:00:00,366.995
high,2023-12-07 10:00:00,370.11
low,2023-12-07 10:00:00,366.8
close,2023-12-07 10:00:00,368.675
open,2023-12-07 09:00:00,368.14
high,2023-12-07 09:00:00,373.93
low,2023-12-07 09:00:00,366.32
close,2023-12-07 09:00:00,367.04
open,2023-12-07 08:00:00,366.21
high,2023-12-07 08:00:00,369.96
low,2023-12-07 08:00:00,365.874
close,2023-12-07 08:00:00,368.08
open,2023-12-07 07:00:00,366.15
high,2023-12-07 07:00:00,367.15
low,2023-12-07 07:00:00,366.1
close,2023-12-07 07:00:00,367.15
open,2023-12-07 06:00:00,366.0
high,2023-12-07 06:00:00,366.36
low,2023-12-07 06:00:00,365.8
close,2023-12-07 06:00:00,366.06
open,2023-12-07 05:00:00,367.41
high,2023-12-07 05:00:00,367.54
low,2023-12-07 05:00:00,365.9
close,2023-12-07 05:00:00,366.15
open,2023-12-07 04:00:00,368.58
high,2023-12-07 04:00:00,368.98
low,2023-12-07 04:00:00,366.0
close,2023-12-07 04:00:00,367.41
open,2023-12-06 19:00:00,368.74
high,2023-12-06 19:00:00,368.93
low,2023-12-06 19:00:00,368.27
close,2023-12-06 19:00:00,368.31
open,2023-12-06 18:00:00,368.49
high,2023-12-06 18:00:00,368.92
low,2023-12-06 18:00:00,368.12
close,2023-12-06 18:00:00,368.74
open,2023-12-06 17:00:00,368.11
high,2023-12-06 17:00:00,368.75
low,2023-12-06 17:00:00,364.06
close,2023-12-06 17:00:00,368.3
open,2023-12-06 16:00:00,368.83
high,2023-12-06 16:00:00,371.655
low,2023-12-06 16:00:00,367.85
close,2023-12-06 16:00:00,368.17
open,2023-12-06 15:00:00,369.76
high,2023-12-06 15:00:00,369.97
low,2023-12-06 15:00:00,368.41
close,2023-12-06 15:00:00,368.81
open,2023-12-06 14:00:00,369.915
high,2023-12-06 14:00:00,370.53
low,2023-12-06 14:00:00,369.33
close,2023-12-06 14:00:00,369.776
open,2023-12-06 13:00:00,368.74
high,2023-12-06 13:00:00,371.124
low,2023-12-06 13:00:00,368.03
close,2023-12-06 13:00:00,369.92
open,2023-12-06 12:00:00,369.73
high,2023-12-06 12:00:00,369.88
low,2023-12-06 12:00:00,368.689
close,2023-12-06 12:00:00,368.75
open,2023-12-06 11:00:00,371.441
high,2023-12-06 11:00:00,371.55
low,2023-12-06 11:00:00,368.79
close,2023-12-06 11:00:00,369.73
open,2023-12-06 10:00:00,371.73
high,2023-12-06 10:00:00,374.07
low,2023-12-06 10:00:00,368.67
close,2023-12-06 10:00:00,371.44
open,2023-12-06 09:00:00,374.35
high,2023-12-06 09:00:00,375.0
low,2023-12-06 09:00:00,371.49
close,2023-12-06 09:00:00,371.8
open,2023-12-06 08:00:00,373.0
high,2023-12-06 08:00:00,374.5
low,2023-12-06 08:00:00,372.43
close,2023-12-06 08:00:00,374.35
open,2023-12-06 07:00:00,372.63
high,2023-12-06 07:00:00,372.99
low,2023-12-06 07:00:00,372.45
close,2023-12-06 07:00:00,372.87
open,2023-12-06 06:00:00,373.24
high,2023-12-06 06:00:00,373.3
low,2023-12-06 06:00:00,372.46
close,2023-12-06 06:00:00,372.51
open,2023-12-06 05:00:00,373.19
high,2023-12-06 05:00:00,373.3
low,2023-12-06 05:00:00,372.8
close,2023-12-06 05:00:00,373.24
open,2023-12-06 04:00:00,373.74
high,2023-12-06 04:00:00,374.42
low,2023-12-06 04:00:00,372.96
close,2023-12-06 04:00:00,373.16
open,2023-12-05 19:00:00,373.0
high,2023-12-05 19:00:00,374.41
low,2023-12-05 19:00:00,372.73
close,2023-12-05 19:00:00,374.41
open,2023-12-05 18:00:00,372.55
high,2023-12-05 18:00:00,373.0
low,2023-12-05 18:00:00,372.226
close,2023-12-05 18:00:00,372.88
open,2023-12-05 17:00:00,372.55
high,2023-12-05 17:00:00,372.8
low,2023-12-05 17:00:00,346.678
close,2023-12-05 17:00:00,372.55
open,2023-12-05 16:00:00,372.58
high,2023-12-05 16:00:00,372.82
low,2023-12-05 16:00:00,371.923
close,2023-12-05 16:00:00,372.55
open,2023-12-05 15:00:00,372.23
high,2023-12-05 15:00:00,372.63
low,2023-12-05 15:00:00,371.83
close,2023-12-05 15:00:00,372.58
open,2023-12-05 14:00:00,371.725
high,2023-12-05 14:00:00,372.26
low,2023-12-05 14:00:00,370.831
close,2023-12-05 14:00:00,372.224
open,2023-12-05 13:00:00,371.78
high,2023-12-05 13:00:00,372.98
low,2023-12-05 13:00:00,371.07
close,2023-12-05 13:00:00,371.735
open,2023-12-05 12:00:00,370.68
high,2023-12-05 12:00:00,372.07
low,2023-12-05 12:00:00,370.5
close,2023-12-05 12:00:00,371.769
open,2023-12-05 11:00:00,371.785
high,2023-12-05 11:00:00,373.075
low,2023-12-05 11:00:00,369.36
close,2023-12-05 11:00:00,370.66
open,2023-12-05 10:00:00,369.7
high,2023-12-05 10:00:00,373.075
low,2023-12-05 10:00:00,369.21
close,2023-12-05 10:00:00,371.79
open,2023-12-05 09:00:00,368.1
high,2023-12-05 09:00:00,370.06
low,2023-12-05 09:00:00,365.56
close,2023-12-05 09:00:00,369.76
open,2023-12-05 08:00:00,367.89
high,2023-12-05 08:00:00,369.45
low,2023-12-05 08:00:00,364.22
close,2023-12-05 08:00:00,368.02
open,2023-12-05 07:00:00,367.62
high,2023-12-05 07:00:00,368.08
low,2023-12-05 07:00:00,366.8
close,2023-12-05 07:00:00,366.86
open,2023-12-05 06:00:00,367.46
high,2023-12-05 06:00:00,368.13
low,2023-12-05 06:00:00,367.46
close,2023-12-05 06:00:00,367.62
open,2023-12-05 05:00:00,368.12
high,2023-12-05 05:00:00,368.23
low,2023-12-05 05:00:00,367.3
close,2023-12-05 05:00:00,367.44
open,2023-12-05 04:00:00,368.8
high,2023-12-05 04:00:00,369.35
low,2023-12-05 04:00:00,367.75
close,2023-12-05 04:00:00,368.24
open,2023-12-04 19:00:00,370.26
high,2023-12-04 19:00:00,370.36
low,2023-12-04 19:00:00,369.88
close,2023-12-04 19:00:00,370.15
open,2023-12-04 18:00:00,370.39
high,2023-12-04 18:00:00,370.5
low,2023-12-04 18:00:00,350.827
close,2023-12-04 18:00:00,370.26
open,2023-12-04 17:00:00,370.13
high,2023-12-04 17:00:00,377.72
low,2023-12-04 17:00:00,369.14
close,2023-12-04 17:00:00,370.44
open,2023-12-04 16:00:00,369.27
high,2023-12-04 16:00:00,371.0
low,2023-12-04 16:00:00,368.96
close,2023-12-04 16:00:00,370.01
open,2023-12-04 15:00:00,367.91
high,2023-12-04 15:00:00,369.52
low,2023-12-04 15:00:00,367.524
close,2023-12-04 15:00:00,369.27
open,2023-12-04 14:00:00,368.34
high,2023-12-04 14:00:00,368.71
low,2023-12-04 14:00:00,367.32
close,2023-12-04 14:00:00,367.91
open,2023-12-04 13:00:00,369.18
high,2023-12-04 13:00:00,369.46
low,2023-12-04 13:00:00,368.26
close,2023-12-04 13:00:00,368.32
open,2023-12-04 12:00:00,367.77
high,2023-12-04 12:00:00,369.265
low,2023-12-04 12:00:00,367.18
close,2023-12-04 12:00:00,369.17
open,2023-12-04 11:00:00,364.44
high,2023-12-04 11:00:00,367.99
low,2023-12-04 11:00:00,363.95
close,2023-12-04 11:00:00,367.77
open,2023-12-04 10:00:00,365.02
high,2023-12-04 10:00:00,368.93
low,2023-12-04 10:00:00,362.9
close,2023-12-04 10:00:00,364.44
open,2023-12-04 09:00:00,370.74
high,2023-12-04 09:00:00,370.8
low,2023-12-04 09:00:00,363.68
close,2023-12-04 09:00:00,365.02
open,2023-12-04 08:00:00,372.0
high,2023-12-04 08:00:00,374.51
low,2023-12-04 08:00:00,370.7
close,2023-12-04 08:00:00,370.7
open,2023-12-04 07:00:00,372.05
high,2023-12-04 07:00:00,372.39
low,2023-12-04 07:00:00,371.62
close,2023-12-04 07:00:00,372.27
open,2023-12-04 06:00:00,372.41
high,2023-12-04 06:00:00,372.69
low,2023-12-04 06:00:00,371.94
close,2023-12-04 06:00:00,371.98
open,2023-12-04 05:00:00,372.5
high,2023-12-04 05:00:00,372.64
low,2023-12-04 05:00:00,372.25
close,2023-12-04 05:00:00,372.41
open,2023-12-04 04:00:00,373.38
high,2023-12-04 04:00:00,374.97
low,2023-12-04 04:00:00,372.12
close,2023-12-04 04:00:00,372.51
